current_time,pwm_incr_module1,pwm_incr_module2
15:59:48,18,13
15:59:49,19,13
15:59:51,20,13
15:59:52,21,13
15:59:54,22,13
15:59:55,23,13
15:59:57,24,13
15:59:58,25,13
16:00:04,1,14
16:00:05,2,14
16:00:07,3,14
16:00:08,4,14
16:00:10,5,14
16:00:11,6,14
16:00:13,7,14
16:00:14,8,14
16:00:16,9,14
16:00:17,10,14
16:00:19,11,14
16:00:20,12,14
16:00:22,13,14
16:00:23,14,14
16:00:25,15,14
16:00:26,16,14
16:00:28,17,14
16:00:30,18,14
16:00:31,19,14
16:00:33,20,14
16:00:34,21,14
16:00:36,22,14
16:00:37,23,14
16:00:39,24,14
16:00:40,25,14
16:00:46,1,15
16:00:47,2,15
16:00:49,3,15
16:00:50,4,15
16:00:52,5,15
16:00:53,6,15
16:00:55,7,15
16:00:56,8,15
16:00:58,9,15
16:00:59,10,15
16:01:01,11,15
16:01:02,12,15
16:01:04,13,15
16:01:05,14,15
16:01:07,15,15
16:01:08,16,15
16:01:10,17,15
16:01:11,18,15
16:01:13,19,15
16:01:14,20,15
16:01:16,21,15
16:01:17,22,15
16:01:19,23,15
16:01:20,24,15
16:01:22,25,15
16:01:27,1,16
16:01:29,2,16
16:01:30,3,16
16:01:32,4,16
16:01:33,5,16
16:01:35,6,16
16:01:36,7,16
16:01:38,8,16
16:01:39,9,16
16:01:41,10,16
16:01:42,11,16
16:01:44,12,16
16:01:45,13,16
16:01:47,14,16
16:01:48,15,16
16:01:50,16,16
16:01:51,17,16
16:01:53,18,16
16:01:55,19,16
16:01:56,20,16
16:01:58,21,16
16:01:59,22,16
16:02:01,23,16
16:02:02,24,16
16:02:04,25,16
16:02:09,1,17
16:02:11,2,17
16:02:12,3,17
16:02:14,4,17
16:02:15,5,17
16:02:17,6,17
16:02:18,7,17
16:02:20,8,17
16:02:21,9,17
16:02:23,10,17
16:02:24,11,17
16:02:26,12,17
16:02:27,13,17
16:02:29,14,17
16:02:30,15,17
16:02:32,16,17
16:02:33,17,17
16:02:35,18,17
16:02:36,19,17
16:02:38,20,17
16:02:39,21,17
16:02:41,22,17
16:02:42,23,17
16:02:44,24,17
16:02:45,25,17
16:02:51,1,18
16:02:52,2,18
16:02:54,3,18
16:02:55,4,18
16:02:57,5,18
16:02:58,6,18
16:03:00,7,18
16:03:01,8,18
16:03:03,9,18
16:03:04,10,18
16:03:06,11,18
16:03:07,12,18
16:03:09,13,18
16:03:10,14,18
16:03:12,15,18
16:03:13,16,18
16:03:15,17,18
16:03:16,18,18
16:03:18,19,18
16:03:20,20,18
16:03:21,21,18
16:03:23,22,18
16:03:24,23,18
16:03:26,24,18
16:03:27,25,18
16:03:33,1,19
16:03:34,2,19
16:03:36,3,19
16:03:37,4,19
16:03:39,5,19
16:03:40,6,19
16:03:42,7,19
16:03:43,8,19
16:03:45,9,19
16:03:46,10,19
16:03:48,11,19
16:03:49,12,19
16:03:51,13,19
16:03:52,14,19
16:03:54,15,19
16:03:55,16,19
16:03:57,17,19
16:03:58,18,19
16:04:00,19,19
16:04:01,20,19
16:04:03,21,19
16:04:04,22,19
16:04:06,23,19
16:04:07,24,19
16:04:09,25,19
16:04:14,1,20
16:04:16,2,20
16:04:17,3,20
16:04:19,4,20
16:04:20,5,20
16:04:22,6,20
16:04:23,7,20
16:04:25,8,20
16:04:26,9,20
16:04:28,10,20
16:04:29,11,20
16:04:31,12,20
16:04:32,13,20
16:04:34,14,20
16:04:35,15,20
16:04:37,16,20
16:04:38,17,20
16:04:40,18,20
16:04:41,19,20
16:04:43,20,20
16:04:45,21,20
16:04:46,22,20
16:04:48,23,20
16:04:49,24,20
16:04:51,25,20
16:04:56,1,21
16:04:58,2,21
16:04:59,3,21
16:05:01,4,21
16:05:02,5,21
16:05:04,6,21
16:05:05,7,21
16:05:07,8,21
16:05:08,9,21
16:05:10,10,21
16:05:11,11,21
16:05:13,12,21
16:05:14,13,21
16:05:16,14,21
16:05:17,15,21
16:05:19,16,21
16:05:20,17,21
16:05:22,18,21
16:05:23,19,21
16:05:25,20,21
16:05:26,21,21
16:05:28,22,21
16:05:29,23,21
16:05:31,24,21
16:05:32,25,21
16:05:38,1,22
16:05:39,2,22
16:05:41,3,22
16:05:42,4,22
16:05:44,5,22
16:05:45,6,22
16:05:47,7,22
16:05:48,8,22
16:05:50,9,22
16:05:51,10,22
16:05:53,11,22
16:05:54,12,22
16:05:56,13,22
16:05:57,14,22
16:05:59,15,22
16:06:00,16,22
16:06:02,17,22
16:06:03,18,22
16:06:05,19,22
16:06:06,20,22
16:06:08,21,22
16:06:09,22,22
16:06:11,23,22
16:06:13,24,22
16:06:14,25,22
16:06:20,1,23
16:06:21,2,23
16:06:23,3,23
16:06:24,4,23
16:06:26,5,23
16:06:27,6,23
16:06:29,7,23
16:06:30,8,23
16:06:32,9,23
16:06:33,10,23
16:06:35,11,23
16:06:36,12,23
16:06:38,13,23
16:06:39,14,23
16:06:41,15,23
16:06:42,16,23
16:06:44,17,23
16:06:45,18,23
16:06:47,19,23
16:06:48,20,23
16:06:50,21,23
16:06:51,22,23
16:06:53,23,23
16:06:54,24,23
